expense_id,expense_date,cardholder_id,cardholder_name,card_program,card_last4,category,merchant,amount,client_count_at_time
EXP_0000212,2024-08-12,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,DocuSign,461.08,51
EXP_0000074,2024-04-19,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Zoom,497.04,19
EXP_0000913,2025-05-15,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,UPS,392.17,135
EXP_0001328,2025-08-21,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Zoom,623.091726630669,159
EXP_0001972,2025-12-28,CH_0002,Jeff,Visa Business,7735,Gas & Travel,United,42.16,192
EXP_0000508,2025-01-03,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Nobu,184.67,96
EXP_0000946,2025-05-25,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Zoom,155.31,139
EXP_0000271,2024-09-18,CH_0002,Jeff,Visa Business,7735,Gas & Travel,United,103.32,59
EXP_0002106,2026-01-25,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Pebble Beach,929.2667384121231,198
EXP_0001707,2025-11-08,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,AWS,266.48,181
EXP_0000292,2024-09-27,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Slack,554.36,61
EXP_0000813,2025-04-15,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Zoom,710.71,127
EXP_0000434,2024-12-03,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Starbucks,713.08,84
EXP_0000176,2024-07-16,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,UPS,575.02,43
EXP_0001207,2025-07-24,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Uber,359.29,151
EXP_0002023,2026-01-08,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Starbucks,372.51,194
EXP_0001731,2025-11-13,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Topgolf,713.4,182
EXP_0000459,2024-12-13,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,314.34,90
EXP_0000785,2025-04-07,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Chevron,76.12885313530309,125
EXP_0001261,2025-08-06,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Ruths Chris,1123.16,153
EXP_0000383,2024-11-10,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Zoom,322.04687085899883,77
EXP_0001917,2025-12-16,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Ruths Chris,276.52,187
EXP_0001015,2025-06-12,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Topgolf,416.6,144
EXP_0000409,2024-11-20,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,91.25,82
EXP_0001495,2025-09-24,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Shell,168.11,169
EXP_0000529,2025-01-12,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Staples Center,137.64,99
EXP_0000470,2024-12-17,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Staples,393.3753392328561,91
EXP_0001719,2025-11-11,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,DocuSign,192.3,182
EXP_0000942,2025-05-24,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Uber,179.82,139
EXP_0000842,2025-04-24,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Staples Center,1163.79,128
EXP_0001256,2025-08-04,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,UPS,261.57,153
EXP_0001308,2025-08-15,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,306.59,157
EXP_0001262,2025-08-06,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Best Buy,570.96,153
EXP_0000033,2024-03-06,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,UPS,301.19,5
EXP_0001097,2025-06-29,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,DocuSign,103.73457414016741,146
EXP_0001396,2025-09-03,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Ruths Chris,460.91,164
EXP_0001955,2025-12-25,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Pebble Beach,364.71,192
EXP_0001352,2025-08-24,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Staples Center,91.36,160
EXP_0000892,2025-05-10,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,FedEx,138.73,135
EXP_0001300,2025-08-13,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Staples,234.38,157
EXP_0001294,2025-08-12,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Staples Center,990.83,157
EXP_0000240,2024-09-01,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Lyft,317.26,54
EXP_0000440,2024-12-07,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Microsoft,100.03,87
EXP_0000094,2024-05-05,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,Apple,542.76,23
EXP_0000045,2024-03-16,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,Staples,126.39,7
EXP_0000325,2024-10-12,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Staples,451.13,65
EXP_0001903,2025-12-14,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,328.98,187
EXP_0001610,2025-10-20,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Apple,280.86,176
EXP_0001303,2025-08-14,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Staples,104.6,157
EXP_0000654,2025-02-23,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Salesforce,491.3173733222936,107
EXP_0000582,2025-01-30,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,101.02,104
EXP_0001552,2025-10-05,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,81.89,172
EXP_0001277,2025-08-09,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,DocuSign,219.1265326742236,154
EXP_0001695,2025-11-05,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,166.96,181
EXP_0000859,2025-04-29,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,FedEx,95.62,130
EXP_0000297,2024-09-27,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,UPS,539.42,61
EXP_0001488,2025-09-23,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,939.93,169
EXP_0000411,2024-11-23,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Salesforce,146.55,83
EXP_0000756,2025-03-29,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Staples Center,234.27,121
EXP_0001821,2025-11-30,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Slack,339.9,186
EXP_0000760,2025-03-31,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Shell,364.02,122
EXP_0000195,2024-07-30,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Apple,405.53,48
EXP_0001918,2025-12-16,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,UPS,209.65,187
EXP_0000943,2025-05-24,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Nobu,1132.0329189177955,139
EXP_0000208,2024-08-09,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Slack,406.3017285548086,51
EXP_0000197,2024-08-02,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Staples Center,953.32,49
EXP_0000519,2025-01-08,CH_0002,Jeff,Visa Business,7735,Gas & Travel,United,221.82,96
EXP_0001918,2025-12-16,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,UPS,205.36409836855816,187
EXP_0000470,2024-12-17,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Staples,386.28864892388333,91
EXP_0000880,2025-05-05,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Lyft,260.31,133
EXP_0000799,2025-04-11,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,Staples,430.76,126
EXP_0001623,2025-10-21,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,AWS,73.98,177
EXP_0001738,2025-11-14,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Chevron,355.37,182
EXP_0001390,2025-09-02,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Starbucks,1178.69,164
EXP_0001579,2025-10-14,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Staples Center,346.28,173
EXP_0001587,2025-10-15,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Ruths Chris,255.13,174
EXP_0002019,2026-01-08,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Chevron,59.06,194
EXP_0000678,2025-03-05,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Chevron,45.17,111
EXP_0000071,2024-04-18,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Lyft,35.06,19
EXP_0001531,2025-10-01,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Nobu,1122.58,172
EXP_0000299,2024-09-28,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Shell,237.4,62
EXP_0000603,2025-02-06,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,FedEx,320.46,105
EXP_0000057,2024-03-31,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Microsoft,253.7,12
EXP_0001462,2025-09-16,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Ruths Chris,807.81,165
EXP_0001126,2025-07-05,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Salesforce,114.74,146
EXP_0001929,2025-12-19,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,158.73,188
EXP_0001237,2025-07-31,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Lyft,41.2,152
EXP_0002004,2026-01-05,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Nobu,244.91,194
EXP_0000933,2025-05-21,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,Best Buy,384.83,139
EXP_0001830,2025-12-01,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,UPS,199.38,186
EXP_0000510,2025-01-04,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,832.49,96
EXP_0001005,2025-06-10,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Uber,175.67,144
EXP_0000125,2024-06-08,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,79.79,34
EXP_0001739,2025-11-14,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,520.33,182
EXP_0001232,2025-07-30,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,AWS,666.39,151
EXP_0001547,2025-10-04,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,FedEx,462.12,172
EXP_0000412,2024-11-24,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Topgolf,807.77,84
EXP_0001787,2025-11-23,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,Apple,239.33,186
EXP_0000795,2025-04-10,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Ruths Chris,638.67,125
EXP_0001643,2025-10-26,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Ruths Chris,1104.22,178
EXP_0000433,2024-12-01,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Uber,330.02,84
EXP_0000404,2024-11-18,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Ruths Chris,1175.1713330813666,82
EXP_0001103,2025-06-30,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Chevron,22.37,146
EXP_0001426,2025-09-09,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Uber,398.31,165
EXP_0001636,2025-10-24,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Topgolf,352.06358966798604,177
EXP_0001242,2025-08-01,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,DocuSign,121.54,152
EXP_0000565,2025-01-24,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Salesforce,149.53,103
EXP_0002154,2026-02-03,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Best Buy,385.17,200
EXP_0002006,2026-01-05,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Best Buy,161.15,194
EXP_0000272,2024-09-18,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,UPS,197.65,59
EXP_0001340,2025-08-23,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Topgolf,835.79,159
EXP_0002097,2026-01-23,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,FedEx,151.7,198
EXP_0000966,2025-05-30,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,611.73,141
EXP_0000479,2024-12-20,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Starbucks,133.0,91
EXP_0002098,2026-01-23,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,973.14,198
EXP_0001077,2025-06-25,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,DocuSign,366.42,146
EXP_0000787,2025-04-08,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Ruths Chris,897.62,125
EXP_0001812,2025-11-27,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Best Buy,555.61,186
EXP_0001602,2025-10-19,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,358.6,176
EXP_0001406,2025-09-05,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Zoom,630.63,164
EXP_0001118,2025-07-04,CH_0002,Jeff,Visa Business,7735,Gas & Travel,United,362.21,146
EXP_0000064,2024-04-13,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Shell,210.69,16
EXP_0001518,2025-09-28,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Starbucks,712.22,171
EXP_0000667,2025-03-01,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Salesforce,460.8659457611807,109
EXP_0001745,2025-11-16,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,1119.96,182
EXP_0000421,2024-11-27,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Ruths Chris,502.55,84
EXP_0001248,2025-08-03,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Best Buy,246.88,153
EXP_0001193,2025-07-20,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Pebble Beach,454.6,151
EXP_0001117,2025-07-04,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,348.74,146
EXP_0001362,2025-08-26,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,144.23,161
EXP_0001086,2025-06-27,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,286.22,146
EXP_0000234,2024-08-29,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Staples,267.9,53
EXP_0002105,2026-01-24,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Apple,411.73,198
EXP_0001169,2025-07-15,CH_0001,Antoine,Visa Business,1842,Gas & Travel,United,58.06,150
EXP_0001019,2025-06-13,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Nobu,287.03,144
EXP_0001019,2025-06-13,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Nobu,287.03,144
EXP_0001577,2025-10-13,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Starbucks,409.57,173
EXP_0001826,2025-12-01,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Slack,566.07,186
EXP_0000030,2024-03-05,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Shell,357.17,4
EXP_0001361,2025-08-25,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Uber,76.32,161
EXP_0001644,2025-10-26,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Microsoft,672.2330864370607,178
EXP_0001065,2025-06-23,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Staples,203.89,146
EXP_0002116,2026-01-27,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Delta,268.92,199
EXP_0001819,2025-11-30,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Chevron,109.71,186
EXP_0001314,2025-08-17,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,217.86,158
EXP_0001089,2025-06-27,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Chevron,273.26,146
EXP_0000323,2024-10-11,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Ruths Chris,230.57,65
EXP_0000189,2024-07-22,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,UPS,547.01,45
EXP_0001140,2025-07-08,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Salesforce,778.07,149
EXP_0000171,2024-07-11,CH_0002,Jeff,Visa Business,7735,Gas & Travel,United,259.46,41
EXP_0001735,2025-11-14,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Nobu,640.25,182
EXP_0002053,2026-01-16,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Pebble Beach,382.31,197
EXP_0000044,2024-03-15,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Slack,449.48,7
EXP_0000088,2024-04-29,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,394.38,22
EXP_0000368,2024-11-02,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,Best Buy,98.4,74
EXP_0001468,2025-09-18,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Nobu,569.24,167
EXP_0001088,2025-06-27,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,Apple,548.23,146
EXP_0000903,2025-05-13,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,DocuSign,791.645095664898,135
EXP_0001635,2025-10-24,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,270.61229815928675,177
EXP_0001453,2025-09-15,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,AWS,532.59,165
EXP_0000941,2025-05-24,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Slack,78.36,139
EXP_0000846,2025-04-25,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,259.98,128
EXP_0000369,2024-11-03,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,82.3,75
EXP_0001644,2025-10-26,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Microsoft,670.16,178
EXP_0001859,2025-12-06,CH_0002,Jeff,Visa Business,7735,Gas & Travel,United,240.29,186
EXP_0000633,2025-02-17,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,AWS,157.96,107
EXP_0002087,2026-01-22,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,UPS,124.21,198
EXP_0000242,2024-09-03,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Shell,281.8967593672706,54
EXP_0001098,2025-06-30,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,315.43,146
EXP_0002080,2026-01-20,CH_0002,Jeff,Visa Business,7735,Gas & Travel,United,178.9571179695,198
EXP_0000150,2024-06-24,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Topgolf,493.44,38
EXP_0001732,2025-11-13,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,168.42,182
EXP_0000431,2024-12-01,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Ruths Chris,274.29,84
EXP_0001197,2025-07-21,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Zoom,150.07,151
EXP_0000423,2024-11-28,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,340.77,84
EXP_0000135,2024-06-17,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,162.97,36
EXP_0000536,2025-01-16,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Microsoft,372.34,100
EXP_0000046,2024-03-16,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,DocuSign,707.53,7
EXP_0000230,2024-08-24,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Starbucks,1074.9702615104745,52
EXP_0001796,2025-11-24,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,DocuSign,510.25,186
EXP_0001072,2025-06-25,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Chevron,346.88,146
EXP_0000696,2025-03-11,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,819.06,112
EXP_0001966,2025-12-27,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Microsoft,572.35,192
EXP_0001882,2025-12-11,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Salesforce,223.57,187
EXP_0001806,2025-11-26,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Zoom,779.4,186
EXP_0001260,2025-08-05,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,53.57,153
EXP_0001923,2025-12-17,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Shell,355.85,187
EXP_0001433,2025-09-11,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,269.49,165
EXP_0001438,2025-09-11,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Ruths Chris,359.17,165
